feedback_id,customer_id,feedback_date,rating,feedback_text,sentiment_label
FB0000001,CUST000001,2025-12-25,1,"Not enough new content being added, feels like I have already watched everything worth watching.",Negative
FB0000002,CUST000001,2022-08-12,5,"Great value for the price, my whole family uses different profiles without any issues.",Positive
FB0000003,CUST000002,2026-04-11,1,"Customer support took too long to respond to my billing complaint, very disappointing experience.",Negative
FB0000004,CUST000003,2024-06-03,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000005,CUST000008,2024-05-30,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000006,CUST000009,2026-03-14,4,"Great value for the price, my whole family uses different profiles without any issues.",Positive
FB0000007,CUST000011,2026-06-24,1,The app keeps crashing on my device and I have not been able to watch anything for days.,Negative
FB0000008,CUST000013,2024-07-25,4,The streaming quality has been excellent and the app feels much faster after the update.,Positive
FB0000009,CUST000014,2026-04-21,3,"It works fine most of the time, occasional buffering but nothing major to complain about.",Neutral
FB0000010,CUST000018,2026-06-16,5,"Love the recommendation engine, it keeps suggesting shows I actually end up enjoying.",Positive
FB0000011,CUST000022,2026-03-20,2,Constant buffering issues during peak hours have made this frustrating to use lately.,Negative
FB0000012,CUST000022,2026-06-20,2,"Customer support took too long to respond to my billing complaint, very disappointing experience.",Negative
FB0000013,CUST000023,2026-05-06,1,"Not enough new content being added, feels like I have already watched everything worth watching.",Negative
FB0000014,CUST000025,2026-03-18,5,"Love the recommendation engine, it keeps suggesting shows I actually end up enjoying.",Positive
FB0000015,CUST000027,2025-09-06,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000016,CUST000028,2021-06-01,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000017,CUST000032,2023-05-06,2,Constant buffering issues during peak hours have made this frustrating to use lately.,Negative
FB0000018,CUST000033,2022-09-23,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000019,CUST000034,2025-06-15,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000020,CUST000039,2023-12-01,1,Constant buffering issues during peak hours have made this frustrating to use lately.,Negative
FB0000021,CUST000039,2024-05-18,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000022,CUST000040,2026-03-04,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000023,CUST000040,2026-01-27,3,"It works fine most of the time, occasional buffering but nothing major to complain about.",Neutral
FB0000024,CUST000040,2024-07-30,3,"It works fine most of the time, occasional buffering but nothing major to complain about.",Neutral
FB0000025,CUST000041,2026-03-17,5,"Great value for the price, my whole family uses different profiles without any issues.",Positive
FB0000026,CUST000041,2022-04-23,5,Customer support resolved my issue quickly and the experience was smooth overall.,Positive
FB0000027,CUST000042,2023-07-16,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000028,CUST000043,2022-12-26,5,Customer support resolved my issue quickly and the experience was smooth overall.,Positive
FB0000029,CUST000046,2023-05-31,5,Customer support resolved my issue quickly and the experience was smooth overall.,Positive
FB0000030,CUST000046,2024-07-19,5,"Love the recommendation engine, it keeps suggesting shows I actually end up enjoying.",Positive
FB0000031,CUST000047,2023-01-01,1,Cancelled my plan because the price increase was not worth the content available right now.,Negative
FB0000032,CUST000049,2026-01-28,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000033,CUST000055,2024-06-03,5,Customer support resolved my issue quickly and the experience was smooth overall.,Positive
FB0000034,CUST000055,2024-07-20,1,Constant buffering issues during peak hours have made this frustrating to use lately.,Negative
FB0000035,CUST000056,2025-08-14,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000036,CUST000056,2024-12-13,5,Customer support resolved my issue quickly and the experience was smooth overall.,Positive
FB0000037,CUST000056,2023-12-24,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000038,CUST000057,2020-07-06,1,"Customer support took too long to respond to my billing complaint, very disappointing experience.",Negative
FB0000039,CUST000060,2025-07-04,4,"Really happy with the content library, discovered several great shows this month.",Positive
FB0000040,CUST000062,2024-11-22,4,The streaming quality has been excellent and the app feels much faster after the update.,Positive
FB0000041,CUST000065,2024-04-15,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000042,CUST000067,2024-12-20,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000043,CUST000068,2021-09-10,2,The app keeps crashing on my device and I have not been able to watch anything for days.,Negative
FB0000044,CUST000069,2025-07-25,1,The app keeps crashing on my device and I have not been able to watch anything for days.,Negative
FB0000045,CUST000075,2024-08-22,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000046,CUST000079,2025-11-07,4,"Great value for the price, my whole family uses different profiles without any issues.",Positive
FB0000047,CUST000079,2025-11-03,1,Constant buffering issues during peak hours have made this frustrating to use lately.,Negative
FB0000048,CUST000081,2024-06-07,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000049,CUST000081,2023-10-10,3,"It works fine most of the time, occasional buffering but nothing major to complain about.",Neutral
FB0000050,CUST000082,2025-09-23,4,"Really happy with the content library, discovered several great shows this month.",Positive
FB0000051,CUST000082,2026-04-09,3,"It works fine most of the time, occasional buffering but nothing major to complain about.",Neutral
FB0000052,CUST000083,2021-04-25,5,"Really happy with the content library, discovered several great shows this month.",Positive
FB0000053,CUST000083,2025-03-14,2,"Not enough new content being added, feels like I have already watched everything worth watching.",Negative
FB0000054,CUST000083,2023-09-03,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000055,CUST000083,2020-12-26,1,The app keeps crashing on my device and I have not been able to watch anything for days.,Negative
FB0000056,CUST000088,2025-02-14,1,Constant buffering issues during peak hours have made this frustrating to use lately.,Negative
FB0000057,CUST000088,2024-05-15,5,"Love the recommendation engine, it keeps suggesting shows I actually end up enjoying.",Positive
FB0000058,CUST000091,2026-06-18,1,"Customer support took too long to respond to my billing complaint, very disappointing experience.",Negative
FB0000059,CUST000097,2024-09-27,1,Constant buffering issues during peak hours have made this frustrating to use lately.,Negative
FB0000060,CUST000097,2023-11-14,3,The service is decent but the content library could use more variety in regional languages.,Positive
FB0000061,CUST000101,2026-04-18,3,"It works fine most of the time, occasional buffering but nothing major to complain about.",Neutral
FB0000062,CUST000104,2022-03-29,5,"Great value for the price, my whole family uses different profiles without any issues.",Positive
FB0000063,CUST000105,2024-12-22,2,"Not enough new content being added, feels like I have already watched everything worth watching.",Neutral
FB0000064,CUST000105,2025-11-26,4,"Great value for the price, my whole family uses different profiles without any issues.",Positive
FB0000065,CUST000105,2022-12-30,5,Customer support resolved my issue quickly and the experience was smooth overall.,Positive
FB0000066,CUST000106,2026-02-14,2,"Customer support took too long to respond to my billing complaint, very disappointing experience.",Negative
FB0000067,CUST000108,2025-06-03,1,The app keeps crashing on my device and I have not been able to watch anything for days.,Negative
FB0000068,CUST000112,2022-01-05,5,"Love the recommendation engine, it keeps suggesting shows I actually end up enjoying.",Positive
FB0000069,CUST000112,2023-11-23,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000070,CUST000114,2022-10-07,1,"Not enough new content being added, feels like I have already watched everything worth watching.",Negative
FB0000071,CUST000114,2023-03-06,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000072,CUST000114,2021-10-14,2,"Not enough new content being added, feels like I have already watched everything worth watching.",Negative
FB0000073,CUST000114,2023-02-04,5,"Great value for the price, my whole family uses different profiles without any issues.",Positive
FB0000074,CUST000117,2026-06-30,4,"Really happy with the content library, discovered several great shows this month.",Positive
FB0000075,CUST000117,2026-04-03,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000076,CUST000117,2026-05-31,4,"Love the recommendation engine, it keeps suggesting shows I actually end up enjoying.",Positive
FB0000077,CUST000119,2024-04-22,2,"Not enough new content being added, feels like I have already watched everything worth watching.",Negative
FB0000078,CUST000121,2025-01-26,4,"Love the recommendation engine, it keeps suggesting shows I actually end up enjoying.",Positive
FB0000079,CUST000123,2025-09-20,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000080,CUST000123,2024-01-05,2,Constant buffering issues during peak hours have made this frustrating to use lately.,Negative
FB0000081,CUST000127,2022-05-20,2,Cancelled my plan because the price increase was not worth the content available right now.,Negative
FB0000082,CUST000128,2025-04-07,5,"Great value for the price, my whole family uses different profiles without any issues.",Positive
FB0000083,CUST000129,2026-05-13,5,"Really happy with the content library, discovered several great shows this month.",Positive
FB0000084,CUST000130,2022-07-07,1,Cancelled my plan because the price increase was not worth the content available right now.,Negative
FB0000085,CUST000133,2026-05-13,2,The app keeps crashing on my device and I have not been able to watch anything for days.,Negative
FB0000086,CUST000134,2026-02-10,5,"Really happy with the content library, discovered several great shows this month.",Positive
FB0000087,CUST000134,2025-06-11,3,The service is decent but the content library could use more variety in regional languages.,Positive
FB0000088,CUST000135,2025-09-25,4,Customer support resolved my issue quickly and the experience was smooth overall.,Positive
FB0000089,CUST000135,2023-09-30,5,"Great value for the price, my whole family uses different profiles without any issues.",Positive
FB0000090,CUST000137,2024-01-29,4,Customer support resolved my issue quickly and the experience was smooth overall.,Positive
FB0000091,CUST000137,2025-05-26,1,Cancelled my plan because the price increase was not worth the content available right now.,Negative
FB0000092,CUST000137,2023-04-07,5,"Love the recommendation engine, it keeps suggesting shows I actually end up enjoying.",Positive
FB0000093,CUST000140,2025-07-28,1,Constant buffering issues during peak hours have made this frustrating to use lately.,Negative
FB0000094,CUST000142,2025-11-29,5,The streaming quality has been excellent and the app feels much faster after the update.,Positive
FB0000095,CUST000144,2023-02-17,1,The app keeps crashing on my device and I have not been able to watch anything for days.,Negative
FB0000096,CUST000146,2025-05-09,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000097,CUST000147,2024-09-05,4,"Really happy with the content library, discovered several great shows this month.",Positive
FB0000098,CUST000148,2026-02-01,1,Cancelled my plan because the price increase was not worth the content available right now.,Negative
FB0000099,CUST000148,2022-04-26,2,Cancelled my plan because the price increase was not worth the content available right now.,Negative
FB0000100,CUST000150,2026-05-22,2,Constant buffering issues during peak hours have made this frustrating to use lately.,Negative
FB0000101,CUST000153,2026-02-18,2,"Not enough new content being added, feels like I have already watched everything worth watching.",Negative
FB0000102,CUST000157,2022-07-16,5,Customer support resolved my issue quickly and the experience was smooth overall.,Positive
FB0000103,CUST000158,2023-11-05,5,"Great value for the price, my whole family uses different profiles without any issues.",Positive
FB0000104,CUST000158,2025-06-22,3,"It works fine most of the time, occasional buffering but nothing major to complain about.",Neutral
FB0000105,CUST000158,2024-06-23,1,"Not enough new content being added, feels like I have already watched everything worth watching.",Negative
FB0000106,CUST000158,2025-07-16,4,"Great value for the price, my whole family uses different profiles without any issues.",Positive
FB0000107,CUST000158,2025-04-16,5,"Really happy with the content library, discovered several great shows this month.",Positive
FB0000108,CUST000159,2024-01-02,2,The app keeps crashing on my device and I have not been able to watch anything for days.,Negative
FB0000109,CUST000165,2026-02-26,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000110,CUST000167,2021-09-17,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000111,CUST000169,2025-02-16,2,"Customer support took too long to respond to my billing complaint, very disappointing experience.",Negative
FB0000112,CUST000171,2026-03-24,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000113,CUST000172,2025-09-10,2,"Customer support took too long to respond to my billing complaint, very disappointing experience.",Negative
FB0000114,CUST000173,2025-10-14,1,The app keeps crashing on my device and I have not been able to watch anything for days.,Negative
FB0000115,CUST000175,2021-05-19,1,Constant buffering issues during peak hours have made this frustrating to use lately.,Negative
FB0000116,CUST000177,2024-06-17,1,Constant buffering issues during peak hours have made this frustrating to use lately.,Negative
FB0000117,CUST000177,2022-10-06,2,"Customer support took too long to respond to my billing complaint, very disappointing experience.",Negative
FB0000118,CUST000178,2023-10-12,1,"Not enough new content being added, feels like I have already watched everything worth watching.",Negative
FB0000119,CUST000178,2026-06-18,1,The app keeps crashing on my device and I have not been able to watch anything for days.,Negative
FB0000120,CUST000180,2024-02-06,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000121,CUST000180,2021-12-06,3,"It works fine most of the time, occasional buffering but nothing major to complain about.",Neutral
FB0000122,CUST000181,2025-08-29,5,Customer support resolved my issue quickly and the experience was smooth overall.,Positive
FB0000123,CUST000186,2022-12-03,4,"Great value for the price, my whole family uses different profiles without any issues.",Positive
FB0000124,CUST000186,2025-01-11,4,Customer support resolved my issue quickly and the experience was smooth overall.,Positive
FB0000125,CUST000187,2026-04-10,1,Constant buffering issues during peak hours have made this frustrating to use lately.,Neutral
FB0000126,CUST000189,2025-03-01,4,The streaming quality has been excellent and the app feels much faster after the update.,Positive
FB0000127,CUST000190,2022-09-20,5,The streaming quality has been excellent and the app feels much faster after the update.,Neutral
FB0000128,CUST000191,2023-06-01,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000129,CUST000196,2026-02-03,3,"Average experience overall, some months are better than others depending on new releases.",Neutral
FB0000130,CUST000196,2025-04-13,4,"Great value for the price, my whole family uses different profiles without any issues.",Positive
FB0000131,CUST000197,2024-06-12,2,Constant buffering issues during peak hours have made this frustrating to use lately.,Negative
FB0000132,CUST000197,2024-02-19,4,The streaming quality has been excellent and the app feels much faster after the update.,Positive
FB0000133,CUST000199,2025-03-10,5,Customer support resolved my issue quickly and the experience was smooth overall.,Positive
FB0000134,CUST000199,2026-05-04,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000135,CUST000200,2026-06-01,4,"Really happy with the content library, discovered several great shows this month.",Positive
FB0000136,CUST000201,2024-12-26,1,The app keeps crashing on my device and I have not been able to watch anything for days.,Negative
FB0000137,CUST000202,2025-11-08,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000138,CUST000208,2023-07-30,5,"Really happy with the content library, discovered several great shows this month.",Positive
FB0000139,CUST000213,2020-11-23,5,Customer support resolved my issue quickly and the experience was smooth overall.,Positive
FB0000140,CUST000223,2025-11-23,4,"Really happy with the content library, discovered several great shows this month.",Positive
FB0000141,CUST000224,2025-03-02,3,"It works fine most of the time, occasional buffering but nothing major to complain about.",Positive
FB0000142,CUST000226,2024-11-26,1,Cancelled my plan because the price increase was not worth the content available right now.,Negative
FB0000143,CUST000233,2026-04-06,4,"Great value for the price, my whole family uses different profiles without any issues.",Positive
FB0000144,CUST000234,2024-08-09,2,Constant buffering issues during peak hours have made this frustrating to use lately.,Negative
FB0000145,CUST000235,2026-02-15,5,"Great value for the price, my whole family uses different profiles without any issues.",Positive
FB0000146,CUST000236,2021-07-26,3,"It works fine most of the time, occasional buffering but nothing major to complain about.",Neutral
FB0000147,CUST000238,2024-05-10,3,The service is decent but the content library could use more variety in regional languages.,Neutral
FB0000148,CUST000239,2024-07-07,2,Cancelled my plan because the price increase was not worth the content available right now.,Negative
