ticket_id,customer_id,ticket_date,issue_category,issue_subcategory,priority,ticket_status,resolution_time_hours,customer_satisfaction_score,ticket_description,support_agent_id
TCK0000001,CUST000001,2024-12-05,Subscription,Auto-renew complaint,Medium,Closed,15.8,2.0,I was auto renewed without any reminder notification and would like a refund for this cycle.,AGT0050
TCK0000002,CUST000001,2025-02-06,Account Access,Login failure,Medium,Closed,6.0,3.0,"I cannot log into my account from my phone even though the password is correct, it keeps saying invalid credentials.",AGT0120
TCK0000003,CUST000002,2026-06-15,Billing & Payments,Failed payment,Medium,Resolved,6.4,3.0,"My payment failed twice this month even though my card has sufficient balance, and I still lost access to my account.",AGT0012
TCK0000004,CUST000003,2021-03-05,Account Access,Account locked,Low,Escalated,,,My account got locked after multiple login attempts from a new device and support has not responded yet.,AGT0101
TCK0000005,CUST000007,2026-02-16,Account Access,Account locked,Medium,Resolved,2.4,3.0,My account got locked after multiple login attempts from a new device and support has not responded yet.,AGT0109
TCK0000006,CUST000010,2023-02-01,Device & App,Download failure,Low,Resolved,58.6,5.0,Downloads for offline viewing keep failing at random percentages and I have to restart every time.,AGT0089
TCK0000007,CUST000011,2022-09-06,Billing & Payments,Failed payment,Medium,Closed,27.9,3.0,"My payment failed twice this month even though my card has sufficient balance, and I still lost access to my account.",AGT0114
TCK0000008,CUST000012,2023-09-22,Account Access,Login failure,Medium,Resolved,29.1,5.0,"I cannot log into my account from my phone even though the password is correct, it keeps saying invalid credentials.",AGT0047
TCK0000009,CUST000013,2025-01-23,Subscription,Cancellation request,High,Closed,52.5,1.0,"Please cancel my plan, the content library does not match what I expected when I signed up.",AGT0079
TCK0000010,CUST000013,2026-06-14,Streaming Quality,Low resolution,Medium,Escalated,,,Even on the premium plan the video quality looks like standard definition on my smart TV.,AGT0085
TCK0000011,CUST000014,2025-11-01,Billing & Payments,Invoice question,Medium,Resolved,11.1,3.0,"Can you send me a detailed invoice breakdown for this month's charge, the app only shows a total amount.",AGT0010
TCK0000012,CUST000021,2024-08-01,Streaming Quality,Audio sync issue,Medium,Resolved,9.5,3.0,The audio is out of sync with the video on almost every title I try to watch on my tablet.,AGT0060
TCK0000013,CUST000021,2022-05-17,Device & App,Download failure,Low,Resolved,3.8,4.0,Downloads for offline viewing keep failing at random percentages and I have to restart every time.,AGT0114
TCK0000014,CUST000021,2022-05-25,Device & App,App not loading,Low,Resolved,26.4,4.0,The app does not load past the splash screen on my gaming console since the last update.,AGT0058
TCK0000015,CUST000021,2026-04-08,Billing & Payments,Duplicate charge,Medium,Closed,32.8,3.0,There are two identical transactions on my statement for this billing cycle which should not have happened.,AGT0067
TCK0000016,CUST000021,2023-12-16,Device & App,Device not supported,Low,Closed,8.8,4.0,My new smart TV model shows the app as unsupported even though older models work fine.,AGT0029
TCK0000017,CUST000022,2026-04-17,Billing & Payments,Failed payment,Medium,Escalated,,,"I was charged but the payment shows as failed on my end, please check and confirm my subscription status.",AGT0006
TCK0000018,CUST000023,2026-06-20,Device & App,Device not supported,Medium,Resolved,8.2,2.0,My new smart TV model shows the app as unsupported even though older models work fine.,AGT0054
TCK0000019,CUST000023,2026-06-29,Device & App,App not loading,High,Closed,2.4,3.0,The app does not load past the splash screen on my gaming console since the last update.,AGT0069
TCK0000020,CUST000025,2025-11-19,Subscription,Cancellation request,Low,Resolved,6.4,5.0,"I want to cancel my subscription immediately, I have not been using the service for the last few months.",AGT0054
TCK0000021,CUST000026,2026-05-03,Billing & Payments,Failed payment,Medium,Resolved,16.1,3.0,"Card declined during renewal, I had to retry three times before it finally went through and I am frustrated with this.",AGT0014
TCK0000022,CUST000027,2023-08-31,Streaming Quality,App crashing,High,Pending,,,"The app crashes every time I try to open a show on my mobile device, I already reinstalled it twice.",AGT0055
TCK0000023,CUST000028,2025-10-07,Content,Content removed,Low,Resolved,55.1,3.0,A show I was halfway through watching was removed from the platform with no notice at all.,AGT0059
TCK0000024,CUST000029,2026-01-18,Content,Missing subtitles,Medium,Resolved,5.8,3.0,Subtitles are missing for several titles in my preferred language even though it is listed as available.,AGT0012
TCK0000025,CUST000030,2025-04-08,Account Access,Login failure,Low,Closed,27.9,5.0,"I cannot log into my account from my phone even though the password is correct, it keeps saying invalid credentials.",AGT0060
TCK0000026,CUST000031,2024-12-04,Device & App,Download failure,Low,Resolved,43.8,3.0,Downloads for offline viewing keep failing at random percentages and I have to restart every time.,AGT0014
TCK0000027,CUST000032,2023-12-28,Account Access,Email verification issue,High,Closed,39.0,3.0,The verification email never arrived after I updated my email address in account settings.,AGT0034
TCK0000028,CUST000038,2025-05-30,Streaming Quality,App crashing,Medium,Resolved,0.5,4.0,"The app crashes every time I try to open a show on my mobile device, I already reinstalled it twice.",AGT0109
TCK0000029,CUST000039,2024-07-28,Subscription,Plan upgrade request,Low,Escalated,,,I want to upgrade to the premium plan for better video quality and more simultaneous streams.,AGT0067
TCK0000030,CUST000039,2023-12-21,Account Access,Email verification issue,Medium,Resolved,43.7,5.0,The verification email never arrived after I updated my email address in account settings.,AGT0058
TCK0000031,CUST000039,2025-04-04,Streaming Quality,Buffering,Low,Closed,2.9,2.0,Streaming keeps buffering constantly even though my internet speed test shows more than enough bandwidth.,AGT0087
TCK0000032,CUST000041,2026-01-25,Billing & Payments,Refund request,Low,Resolved,0.5,2.0,"Please process a refund, I was charged after cancellation and this needs to be corrected quickly.",AGT0062
TCK0000033,CUST000042,2023-10-12,Streaming Quality,Audio sync issue,Low,Resolved,56.9,3.0,The audio is out of sync with the video on almost every title I try to watch on my tablet.,AGT0078
TCK0000034,CUST000045,2023-04-05,Account Access,Email verification issue,Low,Resolved,13.8,3.0,The verification email never arrived after I updated my email address in account settings.,AGT0097
TCK0000035,CUST000047,2025-06-06,Streaming Quality,Buffering,Low,Resolved,24.3,4.0,Streaming keeps buffering constantly even though my internet speed test shows more than enough bandwidth.,AGT0085
TCK0000036,CUST000048,2026-02-07,Billing & Payments,Refund request,Medium,Resolved,8.0,1.0,I want to request a refund since I cancelled within the trial period but was still charged the full amount.,AGT0102
TCK0000037,CUST000052,2024-02-09,Streaming Quality,Audio sync issue,High,Resolved,12.1,3.0,The audio is out of sync with the video on almost every title I try to watch on my tablet.,AGT0063
TCK0000038,CUST000054,2024-10-05,Account Access,Email verification issue,Medium,Pending,,,The verification email never arrived after I updated my email address in account settings.,AGT0069
TCK0000039,CUST000055,2021-10-31,Streaming Quality,Low resolution,Critical,Resolved,48.2,3.0,Even on the premium plan the video quality looks like standard definition on my smart TV.,AGT0051
TCK0000040,CUST000055,2020-11-12,Account Access,Email verification issue,Medium,Pending,,,The verification email never arrived after I updated my email address in account settings.,AGT0073
TCK0000041,CUST000057,2021-07-29,Billing & Payments,Price dispute,Low,Resolved,21.7,4.0,The price increased without any prior notice and I am not happy paying more for the same plan.,AGT0084
TCK0000042,CUST000057,2024-11-26,Device & App,App not loading,High,Closed,8.8,4.0,The app does not load past the splash screen on my gaming console since the last update.,AGT0111
